,orighiredate_key,age,length_of_service,gender_full,STATUS_YEAR,STATUS,BUSINESS_UNIT,is_corporate,is_service,city_emp_pop
9,0.0,61,26,0,2015,1,1,0,0,1392
19,0.0,58,26,1,2015,1,1,0,0,1392
29,0.0,60,26,1,2015,1,1,1,0,1392
39,0.0,56,26,0,2015,1,1,0,0,1392
49,3.0,57,26,0,2015,1,1,0,0,1392
59,3.0,53,26,0,2015,1,1,1,0,1392
69,5.0,51,26,1,2015,1,1,1,0,1392
79,8.0,59,26,1,2015,1,1,0,0,1392
89,11.0,48,26,1,2015,1,0,0,1,160
99,12.0,48,26,1,2015,1,0,0,1,160
109,13.0,50,26,1,2015,1,0,0,1,481
119,18.0,60,26,1,2015,1,1,1,0,1392
129,18.0,54,26,0,2015,1,1,1,0,1392
139,19.0,53,26,1,2015,1,1,0,0,1392
1550,391.0,64,25,1,2015,1,0,0,1,1392
1560,392.0,64,25,0,2015,1,0,0,1,176
1570,395.0,64,25,0,2015,1,0,0,1,305
1580,397.0,64,25,0,2015,1,0,0,1,264
1599,399.0,64,25,1,2015,1,0,0,1,1392
1610,401.0,64,25,1,2015,1,0,0,1,176
1620,401.0,64,25,0,2015,1,0,0,1,267
1630,402.0,64,25,1,2015,1,0,0,1,219
1640,405.0,64,25,1,2015,1,0,0,1,109
1650,407.0,64,25,0,2015,1,0,0,1,1392
1660,410.0,64,25,1,2015,1,0,0,1,267
1670,413.0,64,25,0,2015,1,0,0,1,219
1689,419.0,64,25,0,2015,1,0,0,1,1392
1699,419.0,64,25,1,2015,1,0,0,1,1392
1718,422.0,64,25,0,2015,1,0,0,1,84
1728,423.0,64,25,0,2015,1,0,0,1,481
1738,423.0,64,25,1,2015,1,0,0,1,1392
1748,424.0,64,25,0,2015,1,0,0,1,403
1758,428.0,64,25,0,2015,1,0,0,1,1392
1768,431.0,64,25,0,2015,1,0,0,1,267
1778,432.0,64,25,0,2015,1,0,0,1,258
1788,434.0,64,25,0,2015,1,0,0,1,1392
1807,435.0,64,25,1,2015,1,0,0,1,481
1817,436.0,64,25,1,2015,1,0,0,1,176
1827,438.0,64,25,0,2015,1,0,0,1,1392
1837,443.0,64,25,1,2015,1,0,0,1,267
1847,449.0,64,25,0,2015,1,0,0,1,264
1857,450.0,64,25,0,2015,1,0,0,1,403
1867,451.0,64,25,1,2015,1,0,0,1,481
1877,454.0,64,25,1,2015,1,0,0,1,67
1887,457.0,64,25,1,2015,1,0,0,1,305
1897,459.0,64,25,0,2015,1,0,0,1,67
1907,465.0,64,25,0,2015,1,0,0,1,1392
1917,466.0,64,25,0,2015,1,0,0,1,118
1927,466.0,64,25,0,2015,1,0,0,1,94
1937,467.0,64,25,0,2015,1,0,0,1,1392
1947,467.0,64,25,0,2015,1,0,0,1,90
1957,471.0,64,25,0,2015,1,0,0,1,219
1967,472.0,64,25,0,2015,1,0,0,1,101
1977,472.0,64,25,0,2015,1,0,0,1,1392
1987,474.0,64,25,0,2015,1,0,0,1,1392
1997,474.0,64,25,1,2015,1,0,0,1,305
2007,479.0,64,25,1,2015,1,0,0,1,258
2053,484.0,64,25,1,2015,1,0,0,1,84
2090,489.0,64,25,1,2015,1,0,0,1,481
2100,489.0,64,25,0,2015,1,0,0,1,160
2119,490.0,64,25,0,2015,1,0,0,1,65
2129,491.0,64,24,0,2015,1,0,0,1,101
2157,499.0,64,24,1,2015,1,0,0,1,264
2167,503.0,64,24,1,2015,1,0,0,1,81
2177,505.0,64,24,1,2015,1,0,0,1,197
2187,505.0,64,24,1,2015,1,0,0,1,1392
2197,507.0,64,24,1,2015,1,0,0,1,1392
2207,509.0,64,24,1,2015,1,0,0,1,197
2217,510.0,64,24,1,2015,1,0,0,1,481
2227,511.0,64,24,1,2015,1,0,0,1,305
2237,513.0,64,24,0,2015,1,0,0,1,160
2247,514.0,64,24,1,2015,1,0,0,1,101
2257,518.0,64,24,1,2015,1,0,0,1,197
2267,522.0,64,24,0,2015,1,0,0,1,305
2277,523.0,64,24,0,2015,1,0,0,1,90
2287,526.0,64,24,1,2015,1,0,0,1,1392
2298,533.0,64,24,1,2015,1,0,0,1,219
2308,535.0,64,24,1,2015,1,0,0,1,118
2318,536.0,64,24,0,2015,1,0,0,1,258
2328,536.0,64,24,0,2015,1,0,0,1,481
2338,537.0,64,24,0,2015,1,0,0,1,305
2348,544.0,64,24,0,2015,1,0,0,1,147
2358,545.0,64,24,0,2015,1,0,0,1,403
2368,545.0,64,24,0,2015,1,0,0,1,624
2378,547.0,64,24,1,2015,1,0,0,1,1392
